Incremental transfer (MW),Branch flow (MVA),Branch flow (MVA) ,Bus voltage group
0,387,66,0
500,392,70,0
1000,397,74,0
1500,402,79,0
2000,408,84,0
2500,413,90,0
3000,419,95,0
3500,425,101,0
4000,431,106,0
4500,447,112,0
5000,443,118,0
5500,450,124,0
6000,456,130,0
6500,463,137,0
7000,470,143,0
7500,477,150,0
8000,485,156,0
8500,493,162,0
9000,502,169,0
9500,511,175,0
10000,521,182,0
10500,531,189,0
11000,542,196,0
11500,553,203,0
12000,565,211,0
12500,578,218,0
13000,593,227,1
13500,609,235,1
14000,627,245,1
14250,643,250,1
14313,662,250,1
14344,662,249,1
14352,665,249,1
0,477,60,0
500,480,63,0
1000,484,67,0
1500,487,72,0
2000,491,77,0
2500,494,82,0
3000,497,87,0
3500,501,93,0
4000,504,99,0
4500,507,105,0
5000,511,1100775,0
5500,514,117,0
6000,517,124,0
6500,520,130,0
7000,523,137,0
7500,527,143,0
8000,531,4150,0
8500,535,157,0
9000,539,164,0
9500,543,171,0
10000,548,178,0
10500,552,185,0
11000,557,193,0
11500,562,200,0
12000,568,209,0
12500,574,217,0
13000,581,226,1
13500,589,235,1
14000,599,246,1
14176,606,250,1
14220,612,250,1
14242,616,250,1
0,344,102,0
500,345,103,0
1000,346,104,0
1500,347,106,0
2000,349,108,0
2500,350,110,0
3000,352,112,0
3500,354,115,0
4000,356,119,0
4500,358,122,0
5000,360,126,0
5500,362,131,0
6000,356,135,0
6500,368,141,0
7000,371,146,0
7500,374,152,0
8000,378,158,0
8500,382,165,0
8750,384,169,0
8876,385,171,0
8938,386,172,0
8969,386,172,0
89768,386,172,0
0,128,152,0
500,126,151,0
1000,124,150,0
1500,122,149,0
2000,120,147,0
2500,117,145,0
3000,115,143,0
3500,112,141,0
4000,109,138,0
4500,106,136,0
5000,103,133,0
5500,101,130,0
6000,98,126,0
6500,95,123,0
7000,92,119,0
7500,89,115,0
8000,87,111,0
8500,85,106,0
9000,83,101,0
9500,82,95,0
10000,81,90,0
10500,81,84,0
11000,82,78,0
11500,85,71,0
12000,88,65,0
12500,93,59,0
13000,100,54,0
13500,108,51,0
14000,120,60,0
14250,129,72,0
14313,134,78,0
14344,138,82,0
14352,139,83,0
0,77,0,0
500,77,0,0
1000,77,0,0
1500,77,0,0
2000,77,0,0
2500,77,0,0
3000,77,0,0
3500,77,0,0
4000,77,0,0
4500,77,0,0
5000,77,0,0
5500,77,0,0
6000,76,0,0
6500,76,0,0
7000,76,0,0
7500,76,0,0
8000,76,0,0
8500,75,0,0
9000,75,0,0
9500,75,0,0
10000,74,0,0
10500,74,0,0
11000,73,0,0
11500,73,0,0
12000,72,0,0
12500,72,0,0
13000,71,0,0
13500,70,0,0
14000,69,0,0
14176,68,0,0
14220,68,0,0
14242,68,0,0
0,146,173,0
500,147,174,0
1000,148,175,0
1500,149,176,0
2000,150,177,0
2500,150,177,0
3000,150,177,0
3500,151,177,0
4000,150,176,0
4500,150,176,0
5000,150,175,0
5500,149,174,0
6000,149,172,0
6500,148,170,0
7000,147,168,0
7500,146,166,0
8000,143,163,0
8500,143,160,0
